lambda (nm),counts
422.261,-182.17
422.622,-213.17
422.983,-284.17
423.343,24.83
423.704,-322.17
424.065,-139.17
424.425,-209.17
424.786,-243.17
425.146,-235.17
425.506,-289.17
425.867,-268.17
426.227,-215.17
426.588,-245.17
426.948,-74.17
427.308,-177.17
427.668,-123.17
428.028,-192.17
428.389,-250.17
428.749,-240.17
429.109,-163.17
429.469,-174.17
429.829,263.83
430.189,-217.17
430.549,-213.17
430.909,-296.17
431.268,-309.17
431.628,-187.17
431.988,-257.17
432.348,-136.17
432.707,-82.17
433.067,-246.17
433.427,-208.17
433.786,-168.17
434.146,-173.17
434.506,-39.17
434.865,-372.17
435.224,-246.17
435.584,-161.17
435.943,-146.17
436.303,-174.17
436.662,-336.17
437.021,-95.17
0.437,-88.17
0.438,-175.17
438.099,-162.17
438.458,-331.17
438.817,-238.17
439.176,-231.17
439.535,-206.17
439.894,4.83
440.253,-329.17
440.612,-250.17
440.971,-195.17
0.441,-114.17
441.689,-293.17
442.047,-225.17
442.406,-138.17
442.765,-237.17
443.124,-130.17
443.482,-282.17
443.841,-276.17
444.199,-70.17
444.558,-142.17
444.916,33.83
445.275,-205.17
445.633,-201.17
445.992,-153.17
0.446,-168.17
446.708,-275.17
447.066,-193.17
447.425,-273.17
447.783,-309.17
448.141,-188.17
448.499,-281.17
448.857,-179.17
449.215,-93.17
449.573,-186.17
449.931,-48.17
450.289,-79.17
450.647,-86.17
451.005,-245.17
451.363,-297.17
451.721,-181.17
452.078,-230.17
452.436,-253.17
452.794,311.83
453.152,-203.17
453.509,-74.17
453.867,-266.17
454.224,-124.17
454.582,-145.17
454.939,-255.17
455.297,-176.17
455.654,-144.17
456.011,-281.17
456.369,-234.17
456.726,-334.17
457.083,-294.17
457.441,-176.17
457.798,-169.17
458.155,-114.17
458.512,-146.17
458.869,-14.17
459.226,-156.17
459.583,67.83
0.460,-222.17
460.297,-225.17
460.654,-194.17
461.011,-181.17
461.368,-230.17
461.724,-196.17
462.081,-329.17
462.438,-132.17
462.794,-254.17
463.151,-270.17
463.508,-280.17
463.864,-324.17
464.221,333.83
464.577,-311.17
464.934,-266.17
0.465,-314.17
465.646,-214.17
466.003,-94.17
466.359,-160.17
466.715,-81.17
467.072,-134.17
467.428,-123.17
467.784,-146.17
0.468,-202.17
468.496,-166.17
468.852,-308.17
469.208,-186.17
469.564,695.83
0.470,-134.17
470.276,-239.17
470.632,-236.17
470.988,-46.17
471.343,-235.17
471.699,-201.17
472.055,-170.17
472.411,-302.17
472.766,-169.17
473.122,-71.17
473.477,-172.17
473.833,-175.17
474.188,-227.17
474.544,-191.17
474.899,-183.17
475.255,-207.17
0.476,-257.17
475.965,-151.17
476.321,-289.17
476.676,-200.17
477.031,-223.17
477.386,-95.17
477.741,-179.17
478.096,-136.17
478.451,-287.17
478.806,-148.17
479.161,-107.17
479.516,-279.17
479.871,-236.17
480.226,-43.17
480.581,262.83
480.936,-139.17
0.481,-134.17
481.645,-273.17
0.482,-125.17
482.354,116.83
482.709,-236.17
483.064,-264.17
483.418,-150.17
483.773,-193.17
484.127,-220.17
484.482,-321.17
484.836,-192.17
0.485,-151.17
485.545,-194.17
485.899,-325.17
486.253,-113.17
486.607,-109.17
486.961,-178.17
487.315,601.83
0.488,-321.17
488.024,-176.17
488.378,-182.17
488.732,-332.17
489.086,-124.17
489.439,-211.17
489.793,-113.17
490.147,208.83
490.501,-132.17
490.855,34.83
491.208,-176.17
491.562,-177.17
491.916,-163.17
492.269,-139.17
492.623,-56.17
492.976,-302.17
0.493,-289.17
493.683,-209.17
494.037,-150.17
0.494,-14.17
494.743,-36.17
495.097,-173.17
0.495,-204.17
495.803,-200.17
496.156,-146.17
496.509,-255.17
496.862,-263.17
497.215,-389.17
497.569,-137.17
497.922,-300.17
498.274,-162.17
498.627,-224.17
0.499,-142.17
499.333,-174.17
499.686,-205.17
500.039,-107.17
500.391,-167.17
500.744,-147.17
501.097,-148.17
501.449,-123.17
501.802,-286.17
502.154,-139.17
502.507,-202.17
502.859,-177.17
503.212,-44.17
503.564,359.83
503.917,-233.17
504.269,-187.17
504.621,-54.17
504.973,39.83
505.326,-242.17
505.678,-259.17
0.506,14.83
506.382,-243.17
506.734,-157.17
507.086,-184.17
507.438,-223.17
0.508,-127.17
508.142,-223.17
508.494,-251.17
508.845,-185.17
509.197,-259.17
509.549,-171.17
509.901,350.83
510.252,-216.17
510.604,-255.17
510.956,-43.17
511.307,-238.17
511.659,-212.17
0.512,-293.17
512.361,-198.17
512.713,-92.17
513.064,-219.17
513.416,-160.17
513.767,-330.17
514.118,-339.17
514.469,-159.17
0.515,-259.17
515.172,-261.17
515.523,-243.17
515.874,140.83
516.225,-226.17
516.576,-73.17
516.927,-150.17
517.278,-164.17
517.628,-215.17
517.979,-89.17
0.518,-190.17
518.681,-249.17
519.031,-282.17
519.382,-19.17
519.733,-319.17
520.083,-277.17
520.434,-201.17
520.784,-197.17
521.135,-146.17
521.485,-205.17
521.836,-163.17
522.186,-256.17
522.536,-91.17
522.887,-221.17
523.237,-142.17
523.587,-168.17
523.937,-251.17
524.287,-88.17
524.638,-215.17
524.988,-120.17
525.338,-92.17
525.688,-298.17
526.038,-169.17
526.387,-255.17
526.737,-153.17
527.087,-50.17
527.437,-247.17
527.787,-108.17
528.136,-179.17
528.486,-114.17
528.836,-195.17
529.185,-244.17
529.535,-185.17
529.884,23.83
530.234,-177.17
530.583,-45.17
530.933,-140.17
531.282,-242.17
531.631,-125.17
531.981,15.83
0.532,-236.17
532.679,-212.17
533.028,130.83
533.377,106.83
533.726,-282.17
534.076,-159.17
534.425,-174.17
534.774,-235.17
535.122,-239.17
535.471,-241.17
0.536,-179.17
536.169,-41.17
536.518,-82.17
536.867,160.83
537.215,-109.17
537.564,-275.17
537.913,-117.17
538.261,-114.17
0.539,-153.17
538.958,-128.17
539.307,-241.17
539.655,-182.17
540.003,-80.17
540.352,-296.17
0.541,-193.17
541.048,-90.17
541.397,-277.17
541.745,-151.17
542.093,-12.17
542.441,-240.17
542.789,-183.17
543.137,-139.17
543.485,-29.17
543.833,-116.17
544.181,-196.17
544.529,-26.17
544.877,-271.17
545.225,-129.17
545.572,-236.17
0.546,-182.17
546.268,-255.17
546.615,-97.17
546.963,-139.17
547.311,-92.17
547.658,-177.17
548.006,-158.17
548.353,-87.17
548.701,-109.17
549.048,-49.17
549.395,-124.17
549.743,-158.17
0.550,-60.17
550.437,-223.17
550.784,-100.17
551.131,-124.17
551.478,173.83
551.825,-105.17
552.173,-37.17
552.519,23.83
552.866,-69.17
553.213,15.83
0.554,-107.17
553.907,0.83
554.254,-17.17
554.601,141.83
554.947,-167.17
555.294,-137.17
555.641,-84.17
555.987,-84.17
556.334,34.83
0.557,-39.17
557.027,35.83
557.373,52.83
557.719,121.83
558.066,119.83
558.412,-40.17
558.758,-142.17
559.105,109.83
559.451,-16.17
559.797,114.83
560.143,-6.17
560.489,148.83
560.835,59.83
561.181,49.83
561.527,437.83
561.873,152.83
562.219,-16.17
562.565,13.83
562.911,163.83
563.256,87.83
563.602,267.83
563.948,230.83
564.293,212.83
564.639,262.83
564.985,98.83
0.565,134.83
565.676,217.83
566.021,178.83
566.366,409.83
566.712,329.83
567.057,235.83
567.402,284.83
567.748,404.83
568.093,593.83
568.438,499.83
568.783,614.83
569.128,1120.83
569.473,610.83
569.818,613.83
570.163,699.83
570.508,648.83
570.853,620.83
571.198,642.83
571.543,610.83
571.887,832.83
572.232,726.83
572.577,772.83
572.921,791.83
573.266,925.83
573.611,1559.83
573.955,971.83
0.574,984.83
574.644,1100.83
574.988,1165.83
575.333,1222.83
575.677,1161.83
576.021,1331.83
576.366,1427.83
0.577,1547.83
577.054,1704.83
577.398,1532.83
577.742,1785.83
578.086,1826.83
0.578,1991.83
578.774,2065.83
579.118,2094.83
579.462,2176.83
579.806,2349.83
0.580,2590.83
580.493,2605.83
580.837,2773.83
581.181,3022.83
581.524,3109.83
581.868,3131.83
582.212,3450.83
582.555,3616.83
582.899,3931.83
583.242,4011.83
583.585,5266.83
583.929,4486.83
584.272,4918.83
584.615,5886.83
584.959,5303.83
585.302,5514.83
585.645,5822.83
585.988,6104.83
586.331,6267.83
586.674,6934.83
587.017,7393.83
0.587,7096.83
587.703,7407.83
588.046,7243.83
588.389,7726.83
588.732,8106.83
589.074,8074.83
589.417,8165.83
0.590,8347.83
590.102,8348.83
590.445,8489.83
590.788,8753.83
0.591,8945.83
591.473,9025.83
591.815,8637.83
592.157,8833.83
0.593,8684.83
592.842,8317.83
593.184,8086.83
593.526,7837.83
593.869,7600.83
594.211,7111.83
594.553,6684.83
594.895,6126.83
595.237,5702.83
595.579,5101.83
595.921,4630.83
596.263,4031.83
596.605,3542.83
596.947,3448.83
597.288,2797.83
0.598,2937.83
597.972,2348.83
598.313,2002.83
598.655,1720.83
598.997,1734.83
599.338,1480.83
0.600,1332.83
600.021,1187.83
600.362,1302.83
600.704,1301.83
601.045,1195.83
601.386,1175.83
601.728,1236.83
602.069,1249.83
0.602,1195.83
602.751,1185.83
603.092,1168.83
603.433,1957.83
603.774,1051.83
604.115,1042.83
604.456,1008.83
604.797,964.83
605.138,947.83
605.479,839.83
0.606,815.83
0.606,815.83
606.501,743.83
606.842,606.83
607.182,468.83
607.523,401.83
607.863,493.83
608.204,329.83
608.544,359.83
608.885,288.83
609.225,324.83
609.565,181.83
609.905,87.83
610.246,177.83
610.586,-23.17
610.926,100.83
611.266,23.83
611.606,73.83
611.946,24.83
612.286,86.83
612.626,-67.17
612.966,233.83
613.306,138.83
613.646,-28.17
613.985,31.83
614.325,18.83
614.665,206.83
615.005,58.83
615.344,3.83
615.684,612.83
616.023,72.83
616.363,-21.17
616.702,-12.17
617.042,-2.17
617.381,30.83
0.618,-3.17
0.618,-10.17
618.399,-31.17
618.738,-155.17
619.077,95.83
619.416,-143.17
619.755,-79.17
620.094,-204.17
620.433,-94.17
620.772,-81.17
621.111,-183.17
0.621,-108.17
621.789,2.83
622.128,-10.17
622.466,-167.17
622.805,-310.17
623.144,-143.17
623.482,-106.17
623.821,-39.17
624.159,375.83
624.498,-153.17
624.836,-191.17
625.175,-121.17
625.513,-97.17
625.851,480.83
0.626,-48.17
626.528,-118.17
626.866,-194.17
627.204,-70.17
627.542,-170.17
627.881,7.83
628.219,-160.17
628.557,-74.17
628.895,-271.17
629.232,-139.17
0.630,-9.17
629.908,-107.17
630.246,-146.17
630.584,-125.17
630.921,-120.17
631.259,-169.17
631.597,500.83
631.934,-94.17
632.272,-132.17
632.609,-168.17
632.947,-160.17
633.284,-24.17
633.621,-208.17
633.959,-150.17
634.296,-156.17
634.633,-81.17
634.971,-21.17
635.308,-167.17
635.645,-138.17
635.982,-228.17
636.319,-119.17
636.656,-119.17
636.993,-131.17
0.637,-174.17
637.667,-167.17
638.003,-199.17
0.638,-121.17
638.677,-98.17
639.014,-94.17
0.639,-213.17
639.687,-124.17
640.023,-19.17
0.640,-33.17
640.696,-103.17
641.033,-185.17
641.369,-103.17
641.706,-102.17
642.042,-171.17
642.378,-62.17
642.715,-156.17
643.051,-115.17
643.387,-75.17
643.723,-190.17
644.059,65.83
644.395,-210.17
644.731,-278.17
645.067,-197.17
645.403,-113.17
645.739,-61.17
646.075,-289.17
0.646,-88.17
646.746,-137.17
647.082,1359.83
647.417,492.83
647.753,-87.17
648.089,-104.17
648.424,-72.17
0.649,-212.17
649.095,-51.17
0.649,-70.17
649.766,-34.17
650.101,-190.17
650.436,-252.17
650.771,-99.17
651.107,-81.17
651.442,-215.17
651.777,-192.17
652.112,-201.17
652.447,-107.17
652.782,-148.17
653.117,-105.17
653.452,60.83
653.787,-29.17
654.121,487.83
654.456,-30.17
654.791,-128.17
655.125,-170.17
0.655,-142.17
655.795,-236.17
656.129,-135.17
656.464,-82.17
656.798,-236.17
657.133,115.83
657.467,-212.17
657.801,-147.17
658.136,-95.17
0.658,-216.17
658.804,-175.17
659.138,-203.17
659.472,-177.17
659.806,-62.17
0.660,-263.17
660.474,-80.17
660.808,-99.17
661.142,-141.17
661.476,-293.17
0.662,-77.17
662.144,-177.17
662.477,12.83
662.811,-143.17
663.145,-44.17
663.478,-108.17
663.812,-235.17
664.145,-212.17
664.479,-95.17
664.812,-184.17
665.146,-159.17
665.479,-122.17
665.812,-152.17
666.146,-179.17
666.479,-259.17
666.812,-269.17
667.145,-243.17
667.478,-189.17
667.811,-102.17
668.144,-153.17
668.477,-190.17
0.669,-237.17
669.143,-47.17
669.476,-202.17
669.809,-215.17
670.141,-148.17
670.474,-174.17
670.807,-206.17
671.139,-206.17
671.472,-54.17
671.804,-250.17
672.137,269.83
672.469,457.83
672.802,-55.17
673.134,-105.17
673.467,-86.17
673.799,-167.17
674.131,-121.17
674.463,-17.17
674.795,-287.17
675.127,-134.17
675.459,-184.17
675.792,-124.17
676.123,-140.17
676.455,-177.17
676.787,-194.17
677.119,-156.17
677.451,-227.17
677.783,-71.17
678.114,-5.17
678.446,-190.17
678.778,-195.17
679.109,527.83
679.441,-208.17
679.772,-149.17
680.104,-62.17
680.435,-182.17
680.767,-139.17
681.098,-147.17
681.429,-158.17
0.682,-220.17
682.092,-197.17
682.423,-93.17
682.754,-25.17
683.085,-204.17
683.416,-231.17
683.747,-170.17
684.078,-68.17
684.409,-101.17
0.685,-205.17
0.685,-55.17
685.401,-207.17
685.732,-203.17
686.063,-50.17
686.393,-99.17
686.724,-217.17
687.054,-128.17
687.385,-232.17
687.715,-36.17
688.046,-176.17
688.376,59.83
688.706,-92.17
689.037,-186.17
689.367,-132.17
689.697,-294.17
690.027,-209.17
690.357,-62.17
690.687,-30.17
691.017,-220.17
691.347,-118.17
691.677,-123.17
692.007,-138.17
692.337,-159.17
692.667,-81.17
692.997,-175.17
693.326,-188.17
693.656,-165.17
693.986,-132.17
694.315,-14.17
694.645,-19.17
694.974,-203.17
695.304,-138.17
695.633,-168.17
695.962,-135.17
696.292,-152.17
696.621,-239.17
0.697,-118.17
697.279,-118.17
697.609,-90.17
697.938,-20.17
698.267,68.83
698.596,-208.17
698.925,-98.17
699.254,-184.17
699.583,-149.17
699.911,-181.17
0.700,-283.17
700.569,-115.17
700.898,-230.17
701.226,24.83
701.555,-259.17
701.883,-277.17
702.212,-183.17
0.703,-140.17
702.869,-158.17
703.197,-163.17
703.526,-243.17
703.854,-50.17
704.182,-106.17
0.705,-7.17
704.839,-228.17
705.167,-111.17
705.495,-66.17
705.823,-173.17
706.151,20.83
706.479,-257.17
706.807,-204.17
707.135,-227.17
707.462,-1.17
0.708,-68.17
708.118,-79.17
708.446,-246.17
708.773,-157.17
709.101,85.83
709.429,-53.17
709.756,-91.17
710.084,-195.17
710.411,-124.17
710.738,-36.17
711.066,-140.17
711.393,-135.17
0.712,-229.17
712.047,-116.17
712.375,120.83
712.702,-69.17
713.029,-176.17
713.356,202.83
713.683,-126.17
0.714,-106.17
714.337,-200.17
714.663,-129.17
0.715,-265.17
715.317,-216.17
715.644,-179.17
0.716,-366.17
716.297,-26.17
716.624,-76.17
0.717,-158.17
717.277,-216.17
717.603,-158.17
0.718,-68.17
718.256,-173.17
718.582,-110.17
718.908,-40.17
719.235,-36.17
719.561,-208.17
719.887,-191.17
720.213,-315.17
720.539,-32.17
720.865,-204.17
721.191,-246.17
721.517,-164.17
721.843,-158.17
722.169,-80.17
722.495,-172.17
0.723,35.83
723.146,-56.17
723.472,-2.17
723.797,-197.17
724.123,-114.17
724.448,-46.17
724.774,-159.17
725.099,287.83
725.425,3.83
0.726,-98.17
726.075,-51.17
0.726,-164.17
726.726,-167.17
727.051,-180.17
727.376,-111.17
727.701,-162.17
728.026,-117.17
728.351,-161.17
728.676,-62.17
729.001,612.83
729.326,-99.17
729.651,-124.17
729.975,-122.17
0.730,-181.17
730.625,-226.17
730.949,-236.17
731.274,-212.17
731.598,115.83
731.923,-192.17
732.247,-91.17
732.572,-113.17
732.896,-51.17
0.733,-29.17
733.545,-202.17
733.869,-61.17
734.193,-16.17
734.517,-222.17
734.841,-99.17
735.165,-5.17
735.489,10.83
735.813,-258.17
736.137,-171.17
