lambda (nm),counts,
543.137,-230.83,
543.485,-48.83,
543.833,-231.83,
544.181,-327.83,
544.529,-7.83,
544.877,-508.83,
545.225,-261.83,
545.572,-366.83,
0.546,-372.83,
546.268,-440.83,
546.615,-174.83,
546.963,-291.83,
547.311,-231.83,
547.658,-273.83,
548.006,-316.83,
548.353,-217.83,
548.701,-220.83,
549.048,-227.83,
549.395,-146.83,
549.743,-333.83,
0.550,-134.83,
550.437,-450.83,
550.784,-280.83,
551.131,-249.83,
551.478,181.17,
551.825,-337.83,
552.173,-167.83,
552.519,-158.83,
552.866,-289.83,
553.213,-115.83,
0.554,-356.83,
553.907,-161.83,
554.254,-278.83,
554.601,59.17,
554.947,-436.83,
555.294,-401.83,
555.641,-316.83,
555.987,-304.83,
556.334,-132.83,
0.557,-295.83,
557.027,-228.83,
557.373,-163.83,
557.719,-33.83,
558.066,-133.83,
558.412,-371.83,
558.758,-494.83,
559.105,-330.83,
559.451,-365.83,
559.797,-228.83,
560.143,-421.83,
560.489,-197.83,
560.835,-280.83,
561.181,-271.83,
561.527,228.17,
561.873,-225.83,
562.219,-472.83,
562.565,-465.83,
562.911,-334.83,
563.256,-405.83,
563.602,-245.83,
563.948,-295.83,
564.293,-273.83,
564.639,-235.83,
564.985,-475.83,
0.565,-466.83,
565.676,-328.83,
566.021,-364.83,
566.366,-229.83,
566.712,-342.83,
567.057,-449.83,
567.402,-450.83,
567.748,-262.83,
568.093,-28.83,
568.438,-203.83,
568.783,-123.83,
569.128,566.17,
569.473,-136.83,
569.818,-321.83,
570.163,-105.83,
570.508,-114.83,
570.853,-364.83,
571.198,-232.83,
571.543,-399.83,
571.887,-21.83,
572.232,-294.83,
572.577,-202.83,
572.921,-339.83,
573.266,-191.83,
573.611,662.17,
573.955,-331.83,
0.574,-311.83,
574.644,-244.83,
574.988,-178.83,
575.333,-310.83,
575.677,-486.83,
576.021,-325.83,
576.366,-299.83,
0.577,-200.83,
577.054,-33.83,
577.398,-514.83,
577.742,-223.83,
578.086,-386.83,
0.578,-201.83,
578.774,-279.83,
579.118,-301.83,
579.462,-520.83,
579.806,-322.83,
0.580,-157.83,
580.493,-359.83,
580.837,-216.83,
581.181,-287.83,
581.524,-324.83,
581.868,-388.83,
582.212,-512.83,
582.555,-209.83,
582.899,-99.83,
583.242,-275.83,
583.585,1149.17,
583.929,-267.83,
584.272,-67.83,
584.615,982.17,
584.959,-343.83,
585.302,-401.83,
585.645,-414.83,
585.988,-290.83,
586.331,-216.83,
586.674,-132.83,
587.017,502.17,
0.587,-343.83,
587.703,-208.83,
588.046,-389.83,
588.389,-81.83,
588.732,-149.83,
589.074,-328.83,
589.417,-452.83,
0.590,-268.83,
590.102,-500.83,
590.445,-220.83,
590.788,-277.83,
0.591,-224.83,
591.473,-133.83,
591.815,-499.83,
592.157,-117.83,
0.593,-203.83,
592.842,-397.83,
593.184,-406.83,
593.526,-365.83,
593.869,-59.83,
594.211,-249.83,
594.553,-229.83,
594.895,-283.83,
595.237,-199.83,
595.579,-446.83,
595.921,-255.83,
596.263,-231.83,
596.605,-333.83,
596.947,213.17,
597.288,-168.83,
0.598,528.17,
597.972,-133.83,
598.313,-244.83,
598.655,-341.83,
598.997,-116.83,
599.338,-267.83,
0.600,-437.83,
600.021,-466.83,
600.362,-180.83,
600.704,-286.83,
601.045,-237.83,
601.386,-367.83,
601.728,-331.83,
602.069,-241.83,
0.602,-211.83,
602.751,-202.83,
603.092,-307.83,
603.433,1017.17,
603.774,-326.83,
604.115,-416.83,
604.456,-275.83,
604.797,-373.83,
605.138,-406.83,
605.479,-219.83,
0.606,-379.83,
0.606,-159.83,
606.501,-166.83,
606.842,-207.83,
607.182,-316.83,
607.523,-399.83,
607.863,-158.83,
608.204,-190.83,
608.544,-137.83,
608.885,-116.83,
609.225,16.17,
609.565,-211.83,
609.905,-321.83,
610.246,-233.83,
610.586,-507.83,
610.926,-249.83,
611.266,-441.83,
611.606,-217.83,
611.946,-367.83,
612.286,-224.83,
612.626,-407.83,
612.966,-20.83,
613.306,-126.83,
613.646,-339.83,
613.985,-252.83,
614.325,-202.83,
614.665,51.17,
615.005,-147.83,
615.344,-251.83,
615.684,722.17,
616.023,-108.83,
616.363,-288.83,
