lambda (nm),counts
467.784,-263.75
0.468,-298.75
468.496,-193.75
468.852,-422.75
469.208,-244.75
469.564,1006.25
0.470,-179.75
470.276,-381.75
470.632,-276.75
470.988,-56.75
471.343,-361.75
471.699,-356.75
472.055,-370.75
472.411,-410.75
472.766,-347.75
473.122,-82.75
473.477,-291.75
473.833,-282.75
474.188,-350.75
474.544,-170.75
474.899,-272.75
475.255,-337.75
0.476,-410.75
475.965,-286.75
476.321,-414.75
476.676,-330.75
477.031,-299.75
477.386,-213.75
477.741,-314.75
478.096,-259.75
478.451,-463.75
478.806,-181.75
479.161,-201.75
479.516,-402.75
479.871,-428.75
480.226,-59.75
480.581,367.25
480.936,-238.75
0.481,-257.75
481.645,-363.75
0.482,-214.75
482.354,200.25
482.709,-417.75
483.064,-414.75
483.418,-233.75
483.773,-326.75
484.127,-417.75
484.482,-483.75
484.836,-362.75
0.485,-274.75
485.545,-415.75
485.899,-386.75
486.253,-185.75
486.607,-231.75
486.961,-230.75
487.315,732.25
0.488,-471.75
488.024,-250.75
488.378,-372.75
488.732,-475.75
489.086,-266.75
489.439,-313.75
489.793,-138.75
490.147,310.25
490.501,-110.75
490.855,43.25
491.208,-232.75
491.562,-229.75
491.916,-333.75
492.269,-196.75
492.623,-155.75
492.976,-489.75
0.493,-390.75
493.683,-432.75
494.037,-253.75
0.494,-87.75
494.743,-96.75
495.097,-220.75
0.495,-285.75
495.803,-304.75
496.156,-207.75
496.509,-394.75
496.862,-368.75
497.215,-518.75
497.569,-287.75
497.922,-405.75
498.274,-425.75
498.627,-275.75
0.499,-341.75
499.333,-340.75
499.686,-204.75
500.039,-241.75
500.391,-185.75
500.744,-222.75
501.097,-242.75
501.449,-183.75
501.802,-359.75
502.154,-216.75
502.507,-316.75
502.859,-186.75
503.212,-63.75
503.564,478.25
503.917,-367.75
504.269,-377.75
504.621,-160.75
504.973,17.25
505.326,-357.75
505.678,-372.75
0.506,-4.75
506.382,-312.75
506.734,-284.75
507.086,-262.75
507.438,-445.75
0.508,-166.75
508.142,-355.75
508.494,-401.75
508.845,-402.75
509.197,-420.75
509.549,-271.75
509.901,483.25
510.252,-363.75
510.604,-447.75
510.956,-20.75
511.307,-384.75
511.659,-209.75
0.512,-352.75
512.361,-276.75
512.713,-176.75
513.064,-306.75
513.416,-358.75
513.767,-460.75
514.118,-530.75
514.469,-275.75
0.515,-447.75
515.172,-376.75
515.523,-367.75
515.874,222.25
516.225,-276.75
516.576,-121.75
516.927,-203.75
517.278,-259.75
517.628,-234.75
517.979,-217.75
0.518,-321.75
518.681,-324.75
519.031,-451.75
519.382,16.25
519.733,-469.75
520.083,-423.75
520.434,-309.75
520.784,-354.75
521.135,-210.75
521.485,-328.75
521.836,-287.75
522.186,-391.75
522.536,-217.75
522.887,-293.75
523.237,-182.75
523.587,-272.75
523.937,-329.75
524.287,-132.75
524.638,-313.75
524.988,-172.75
525.338,-298.75
525.688,-359.75
526.038,-320.75
526.387,-377.75
526.737,-229.75
527.087,-111.75
527.437,-268.75
527.787,-175.75
528.136,-179.75
528.486,-168.75
528.836,-229.75
529.185,-384.75
529.535,-331.75
529.884,85.25
530.234,-317.75
530.583,-103.75
530.933,-225.75
531.282,-427.75
531.631,-198.75
531.981,47.25
0.532,-350.75
532.679,-429.75
533.028,214.25
533.377,77.25
533.726,-388.75
534.076,-250.75
534.425,-242.75
534.774,-355.75
535.122,-374.75
535.471,-306.75
0.536,-278.75
536.169,-78.75
536.518,-150.75
536.867,166.25
537.215,-155.75
537.564,-348.75
537.913,-173.75
538.261,-148.75
0.539,-250.75
538.958,-195.75
539.307,-404.75
539.655,-250.75
540.003,-171.75
540.352,-431.75
0.541,-326.75
541.048,-87.75
541.397,-434.75
541.745,-253.75
542.093,-9.75
542.441,-446.75
542.789,-195.75
543.137,-203.75
543.485,-126.75
543.833,-231.75
544.181,-272.75
544.529,-44.75
544.877,-421.75
545.225,-282.75
545.572,-411.75
0.546,-331.75
546.268,-398.75
546.615,-172.75
546.963,-279.75
547.311,-153.75
547.658,-282.75
548.006,-286.75
548.353,-162.75
548.701,-90.75
549.048,-217.75
549.395,-175.75
549.743,-242.75
0.550,-180.75
550.437,-351.75
550.784,-285.75
551.131,-206.75
